Virtual Threads;3a;103.371;61.1;1749915904;27
Virtual Threads;4a;101.844;53.2;1638739064;27
Virtual Threads;5a;101.802;52.3;1630468624;27
Virtual Threads;6a;101.397;52.7;1631755256;27
Virtual Threads;7a;101.485;52.7;1638829200;27
Cached Threads;3a;102.259;51.5;814692480;711
Cached Threads;4a;102.158;51.2;806999808;736
Cached Threads;5a;102.152;52.0;633076088;680
Cached Threads;6a;101.834;50.0;735247824;712
Cached Threads;7a;101.873;49.1;751236208;699
Tomcat Threads;3a;102.029;50.7;335110432;695
Tomcat Threads;4a;101.853;49.2;378567440;717
Tomcat Threads;5a;102.531;48.1;415149848;734
Tomcat Threads;6a;104.411;53.2;409676008;928
Tomcat Threads;7a;101.741;47.2;328868096;702