Virtual Threads;1;0;0;2452619264;1418727280;4167;0;25;22
Virtual Threads;2;0,1;0;2452619264;1419106912;4167;0;25;22
Virtual Threads;3;35,7;0;2452619264;1504226592;4167;0;27;24
Virtual Threads;4;50,3;0;2452619264;1544985056;4167;0;27;24
Virtual Threads;5;48,6;0;2452619264;1585634312;4167;0;27;24
Virtual Threads;6;52,2;0;2452619264;1628478288;4167;0;27;24
Virtual Threads;7;50,3;0;2452619264;1666334392;4167;0;27;24
Virtual Threads;8;52,5;0;2452619264;1707317976;4167;0;27;24
Virtual Threads;9;49,7;0;2452619264;1749915904;4167;0;27;24
Virtual Threads;10;61,1;1;2452619264;1287180856;4167;0;27;24
Virtual Threads;11;49,4;0;2452619264;1326218184;4167;0;27;24
Virtual Threads;12;51,1;0;2452619264;1367301648;4167;0;27;24
Virtual Threads;13;15,8;0;2452619264;1382358048;4167;0;27;24
Cached Threads;1;0;0;1013448704;598195712;4207;0;19;16
Cached Threads;2;0,1;0;1013448704;598195712;4207;0;19;16
Cached Threads;3;13,2;0;1013448704;639795112;4207;0;568;565
Cached Threads;4;49,6;0;1013448704;674122192;4207;0;711;708
Cached Threads;5;50,2;0;1013448704;691857256;4207;0;711;708
Cached Threads;6;46,3;0;1013448704;709299856;4207;0;711;708
Cached Threads;7;51,5;0;1013448704;726476592;4207;0;711;708
Cached Threads;8;46,4;0;1013448704;745585240;4207;0;711;708
Cached Threads;9;49,6;0;1013448704;761369744;4207;0;711;708
Cached Threads;10;46;0;1013448704;780771624;4207;0;711;708
Cached Threads;11;50,1;0;1013448704;797858864;4207;0;711;708
Cached Threads;12;49;0;1013448704;814692480;4207;0;711;708
Cached Threads;13;42;0,3;955777024;322646840;4207;0;711;708
Cached Threads;14;0,3;0;955777024;324830632;4207;0;711;708
Cached Threads;15;0,3;0;955777024;327015416;4207;0;711;708
Tomcat Threads;1;0;0;625999872;287473776;4129;0;29;26
Tomcat Threads;2;6,2;0,1;516423680;201837000;4129;0;359;355
Tomcat Threads;3;50,7;0;516423680;256197520;4129;0;695;692
Tomcat Threads;4;49,1;0;516423680;275469576;4129;0;695;692
Tomcat Threads;5;45,6;0;516423680;295788176;4129;0;695;692
Tomcat Threads;6;50,5;0,1;606076928;246413816;4129;0;695;692
Tomcat Threads;7;44,7;0;606076928;266033304;4129;0;695;692
Tomcat Threads;8;48,7;0;606076928;285884360;4129;0;695;692
Tomcat Threads;9;44,3;0;606076928;305738168;4129;0;695;692
Tomcat Threads;10;48,4;0;606076928;325601128;4129;0;695;692
Tomcat Threads;11;45,8;0,1;503316480;235221200;4129;0;695;692
Tomcat Threads;12;44,3;0;503316480;254345808;4129;0;695;692
Tomcat Threads;13;0,7;0;503316480;256924056;4129;0;695;692